Store ID,SKU,Product Name,Price,Date
ST101,PROD-2024-001,Samsung Galaxy S24,899.99,2024-03-01
ST101,PROD-2024-002,Apple iPhone 15 Pro,1099.99,2024-03-01
ST101,PROD-2024-003,Sony WH-1000XM5 Headphones,349.99,2024-03-01
ST101,PROD-2024-004,Dell XPS 13 Laptop,1299.99,2024-03-01
ST101,PROD-2024-005,Nintendo Switch OLED,349.99,2024-03-01
ST102,PROD-2024-001,Samsung Galaxy S24,879.99,2024-03-01
ST102,PROD-2024-002,Apple iPhone 15 Pro,1089.99,2024-03-01
ST102,PROD-2024-006,PlayStation 5,499.99,2024-03-01
ST102,PROD-2024-007,Xbox Series X,499.99,2024-03-01
ST102,PROD-2024-008,Apple AirPods Pro,249.99,2024-03-01
ST103,PROD-2024-003,Sony WH-1000XM5 Headphones,339.99,2024-03-02
ST103,PROD-2024-009,Apple MacBook Air M2,1199.99,2024-03-02
ST103,PROD-2024-010,iPad Pro 12.9,1099.99,2024-03-02
ST103,PROD-2024-011,Samsung 55 4K Smart TV,699.99,2024-03-02
ST103,PROD-2024-012,Bose SoundLink Speaker,129.99,2024-03-02
ST101,PROD-2024-013,Logitech MX Master 3S,99.99,2024-03-03
ST101,PROD-2024-014,Apple Watch Series 9,399.99,2024-03-03
ST101,PROD-2024-015,Canon EOS R6 Camera,2499.99,2024-03-03
ST102,PROD-2024-016,DJI Mini 3 Pro Drone,759.99,2024-03-03
ST102,PROD-2024-017,GoPro Hero 12,399.99,2024-03-03
